,id,localidade,IAP,IDH,PIB,GINI,CLASS,qty_casos_2014,qty_casos_2015,qty_casos_2016,qty_casos_2017,qty_casos_2018,qty_casos_2019,qty_casos_2020,qty_casos_2021,qty_casos_2022,qty_casos_2023
112,150670,Santana do Araguaia,0.12,0.602,14211.26,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,150680,Santarém,0.37,0.691,16802.78,0.5700000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,732.0,1866.0,2796.0,2406.0
114,150690,Santarém Novo,0.0,0.587,6971.5,0.6699999999999999,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,18.0
115,150700,Santo Antônio do Tauá,0.15,0.632,12227.41,0.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,150710,São Caetano de Odivelas,0.27,0.585,8105.99,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,150715,São Domingos do Araguaia,0.12,0.594,11134.85,0.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,150720,São Domingos do Capim,0.12,0.532,10806.82,0.61,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,150730,São Félix do Xingu,0.12,0.594,11270.96,0.5800000000000001,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,150740,São Francisco do Pará,0.0,0.608,15129.32,0.6599999999999999,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,150745,São Geraldo do Araguaia,0.15,0.595,20942.55,0.5900000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,150746,São João da Ponta,0.0,0.583,7562.76,0.65,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,150747,São João de Pirabas,0.12,0.539,7324.63,0.64,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,150750,São João do Araguaia,0.27,0.55,9534.22,0.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,150760,São Miguel do Guamá,0.0,0.591,10684.42,0.61,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,150770,São Sebastião da Boa Vista,0.15,0.558,7710.73,0.6599999999999999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,150775,Sapucaia,0.12,0.59,17872.07,0.62,3,0.0,1.0,3.0,3.0,2.0,0.0,1.0,18.0,33.0,0.0
128,150780,Senador José Porfírio,0.0,0.514,13972.61,0.63,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,194.0,62.0
129,150790,Soure,0.52,0.615,7771.02,0.62,0,2.0,5.0,10.0,11.0,11.0,2.0,33.0,45.0,74.0,126.0
130,150795,Tailândia,0.12,0.588,8924.77,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,77.0,91.0,168.0,141.0
131,150796,Terra Alta,0.27,0.605,6080.78,0.62,2,0.0,1.0,6.0,5.0,3.0,3.0,5.0,5.0,7.0,59.0
132,150797,Terra Santa,0.0,0.635,25068.1,0.63,3,0.0,2.0,1.0,6.0,0.0,4.0,4.0,56.0,44.0,2.0
133,150800,Tomé-Açu,0.35,0.586,11206.06,0.61,1,0.0,0.0,0.0,0.0,0.0,0.0,41.0,264.0,306.0,191.0
134,150803,Tracuateua,0.27,0.531,7475.17,0.65,2,1.0,2.0,3.0,9.0,1.0,1.0,7.0,22.0,31.0,63.0
135,150805,Trairão,0.12,0.562,15072.6,0.6599999999999999,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,13.0,0.0
136,150808,Tucumã,0.35,0.659,20880.37,0.63,1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,83.0,207.0,285.0
137,150810,Tucuruí,0.5700000000000001,0.666,46639.59,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,333.0,626.0,738.0
138,150812,Ulianópolis,0.27,0.604,26850.16,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,42.0,33.0,77.0
139,150815,Uruará,0.15,0.589,13401.03,0.62,2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,46.0,70.0,108.0
140,150820,Vigia,0.32,0.617,7216.02,0.64,2,7.0,7.0,20.0,28.0,14.0,10.0,101.0,89.0,137.0,234.0
141,150830,Viseu,0.47,0.515,7952.36,0.63,1,3.0,3.0,7.0,11.0,11.0,4.0,48.0,100.0,69.0,212.0
142,150835,Vitória do Xingu,0.0,0.596,270414.24,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,150840,Xinguara,0.15,0.646,28872.41,0.61,2,4.0,6.0,16.0,24.0,18.0,13.0,60.0,163.0,157.0,215.0
